Done?	Reviewer	Order	Github Issue #	Category	Comment	Notes / TODO	Quote	Response	Responded?
FALSE	1	1	22	Content	Use cases: Provide more detailed descriptions of when to use the Grand Tour method and when not to use among several dimensionality reduction techniques. 	"limitations: resnet, skip-connections layers is a simple function of a single layer before  (in discussion section:) clusters/separations - umap and tSNE seq of data: Grand Tour"	"However, I wish the article provided more detailed descriptions of when to use the Grand Tour method and when not to use among several dimensionality reduction techniques. As the Grand Tour has not been used in the context of interpreting neural nets and the authors do not seem to claim that non-linear methods should be replaced with linear ones for every case, providing some practical guidances or limitations would help researchers and practitioners get benefits from the article for their work. Discussing its limitations can also promote further research in this area."	"Thank you for the comment.  We added a subsection in the discussion that describes the limitations of the Grand Tour and future research directions of dimensionality reduction methods."	FALSE
TRUE	2	7	18	Content	"Use case: The concept of moving axes vs moving selected groups of points. The case has been made for moving axes to get a good view, but when would the points be more appropriate? Would I have to know which ones to look at from some other source? There is some coverage of the different uses, but it needs to be organized better to lay it out from the user perspective."	"Discuss: when axes are interpretable and sufficiently few of them.  Todo: Move some text from technical details to body"	"The main confusion is actually about how the user is meant to take advantage of this technique and when. This seems to be about confusion over two separate things. First, the concept of moving axes vs moving selected groups of points. These distinctions are neatly identified in the math, but I do not see how this works with the user perspective. The case has been made for moving axes to get a good view, but when would the points be more appropriate? Would I have to know which ones to look at from some other source? There is some coverage of the different uses, but it needs to be organized better to lay it out from the user perspective."	"Thank you for the comment.  We now clarify this point in the beginning of the Grand Tour of layer dynamics, where we explain that direct manipulations on the axes are not satisfying for intermediate layers because (the second bullet:) there are too many dimensions to interact with and these dimensions do not have as clear semantics as the softmax layer."	FALSE
FALSE	2	8	17	Content	"Use case: The idea about a continuum of projections isn’t really practical for understanding how a user would take advantage.  "	"“The struct of pts are not revealed in a single powerful non-linear projections. Hence we need all linear projections. “ “continuum of projection” can mean grand tour/ transition/ manipulation legibility/readability  "	"The other issue is that the idea about a continuum of projections is lovely in the mathematics, but isn't really practical for understanding how a user would take advantage. In all cases it seems like the someone really needs to know exactly what they're looking for already. I think breaking this down by use cases, again by user tasks, would really clarify what this system can do. Right now, I'm left with an interesting concept, and an implementation I believe in, but no clear vision for how this helps."	"Thank you for the comment.  We explain the reason and advantage for a continuum of projections (i.e. the Grand Tour) as part of the main text. In the beginning of “the Grand Tour” section, we propose to use the Grand Tour because “…we don't know ahead of time which projection to choose from, because we don't quite know what to look for…”  Deep down, the Grand Tour allow users distinguish points that a particular linear projection may make them overlapped. It allows users to distinguish and eliminates artifacts of visualizations that any single linear projection has when users want to find low dimensional structures (e.g. triangles, lines) in high dimensional space. In the interest of length, we did not discuss this theoretical power of Grand Tour animation in length."	FALSE
FALSE	me		none	Code	tooltip in loss history 				FALSE
FALSE	me		none	Code	legend for per-class  loss history				FALSE
FALSE	me		none	Code	Canvas height keep increasing when resizing browser window in full screen mode of grand tour view.				FALSE
TRUE	me		none	Code	Color the text: e.g. by the class of digit 1 and 7	"CSS: .colored{ } .class-0 { }"			FALSE
FALSE	me		none	Content	Discussion: CAV handles for intermediate layers (cite: TCAV)				FALSE
TRUE	1	2	21	Content	"Restructuring the background section, or even simply changing the title of the Background section and/or subsections.  The Background section is not just designed to provide the """"background"""" knowledge or related work, but to introduce an important motivating example used throughout the article and also present a crucial argument for the article."	background => motivation	"Overall, the article is well-structured with a good balance between intuitive explanations using visualizations and theory behind them. But I think the presentation of the beginning part could be improved, especially by restructuring the subsections, or even simply changing the title of the Background section and/or subsections. The Background section is not just designed to provide the ‘background’ knowledge or related work, but to introduce an important motivating example used throughout the article and also present a crucial argument for the article."	"Thank you for the comment.  We reordered our text and replaced the titles of subsections to ”Working Examples”, “Using Visualization to Understand DNNs”, etc."	TRUE
TRUE	1	3	none	Grammar / Style	"how neurons activates -> how neurons activate
We have to emphasis one -> We have to emphasize one
The In the figure below -> In the figure below
Examples fall between sandal and sneaker classes indicates -> Examples that fall between sandal and sneaker classes indicate
training and testing dataset -> training and testing datasets
should be consider as -> should be considered as”"		"There exist many grammatical errors which I list a few of them below. I suggest the authors go over the article to fix them.  how neurons activates -> how neurons activate
We have to emphasis one -> We have to emphasize one
The In the figure below -> In the figure below
Examples fall between sandal and sneaker classes indicates -> Examples that fall between sandal and sneaker classes indicate
training and testing dataset -> training and testing datasets
should be consider as -> should be considered as"	Thank you for the corrections. We made a full pass of the article to eliminate such errors.	TRUE
TRUE	2	1	none	Content	"Technical details: including more terms in (dx, dy, ...) than are actually there"		"There are a few issues with the paper, mostly due to the writing. For example, while the writeup of the math is overall convincing there are typos that confuse, e.g. including more terms in (dx, dy, ...) than are actually there."	Thank you for the comment. We included more terms in the description. 	TRUE
TRUE	2	2	19	Content	"Citations with linear algebra. Instead of just citing a textbook, it would be helpful to include a few sentences of explanation rather than stating something as straightforward fact."	cite instead of explaining in full details	"I also think that even in the technical explanation part, more care to use citations with linear algebra and neural networks literature would be helpful. Much of the linear algebra is core material, so instead of just citing a textbook, it would be helpful to include a few sentences of explanation rather than stating something as straightforward fact."	"Thank you for the comment.
We do agree that some intuitions about linear algebra, specifically  SVD, is helpful. However, we do not know of any short explanation of this topic other than spelling out all the details of linear algebra behind it, or this article (http://www.ams.org/publicoutreach/feature-column/fcarc-svd) which include the geometric interpretations of SVD we used in the article. So instead of explaining linear algebra in our article, we cited the above article."	TRUE
TRUE	2	3	20	Content	Explaining neural networks: One example is the idea that linear methods for projection are most appropriate because of the linear nature of the networks. This is not really straightforward and I'm not convinced but it is left unsupported.		"…Even more so with neural networks material throughout the paper - the audience for this work could be wide, so stating things about neural network internals without citation or explanation is damaging. One example is the idea that linear methods for projection are most appropriate because of the linear nature of the networks. This is not really straightforward and I'm not convinced but it is left unsupported."	"Thank you for the comment.  We rephrased our argument accordingly. Instead of saying ‘neural networks are (mostly) linear’, we changed into ‘Although deep neural networks are clearly not linear processes, they often confine their nonlinearity to a small set of operations, enabling us to still reason about their behavior.’"	TRUE
TRUE	2	4	20	Content	Explaining neural networks: One more example is that a sentence about how network components become vector inputs to this system may widen the audience.	cite neural networks article	…One more example is that a sentence about how network components become vector inputs to this system may widen the audience.	"Thank you for the suggestion.  We now emphasize this view by saying “…activations of neurons after a layer, can also be seen as vectors in R^n…”"	TRUE
TRUE	2	5	11	Grammar / Style	The enthusiasm is a bit too high for academic material. Using words like amazing and including an exclamation point are not appropriate		"Relatedly, the enthusiasm is a bit too high for academic material. Using words like amazing and including an exclamation point are not appropriate."	"Thank you for the comment.  We made a full pass of the article and removed such words and exclamation marks."	TRUE
TRUE	2	6	10	Content	"Perhaps the most disconcerting was an assertion at the beginning that neural networks are now the default classifier. This is far from true for many reasons. They are slow and expensive to train and require lots of data, plus they are difficult to interpret, making them a poor choice for many machine learning applications. Not only is that assertion inaccurate, it will be galling to many potential readers."	=>NN beats contests.	"Perhaps the most disconcerting was an assertion at the beginning that neural networks are now the default classifier. This is far from true for many reasons. They are slow and expensive to train and require lots of data, plus they are difficult to interpret, making them a poor choice for many machine learning applications. Not only is that assertion inaccurate, it will be galling to many potential readers."	"Thank you for the comment.  We removed this assertion and replaced it by “Deep neural networks often achieve best-in-class performance in supervised learning contests…”"	TRUE
TRUE	2	10	6	Content	"'distribution of data from softmax layers is spherical' - without citation? In this case it's just about orthogonality and makes sense, but that strong unclear statement weakens the paragraph."	"=> data in softmax layer has ""Equal Variance”"	"“distribution of data from softmax layers is spherical” - without citation? In this case it's just about orthogonality and makes sense, but that strong unclear statement weakens the paragraph."	"Thank you for the comment.  We made our argument clearer by saying “…the distribution of data in softmax layers often has similar variance along many axis directions…”"	TRUE
TRUE	2	11	12	Grammar / Style	"typos, especially of the misconjugation variety, are very common"		"typos, especially of the misconjugation variety, are very common"	Thank you for the comment. We made a full pass of our text and tried our best to eliminate such errors.	TRUE
TRUE	2	12	none	Grammar / Style	watch GN^{new} vs GT^'. They seem to have been used interchangeably.		watch GN^{new} vs GT^'. They seem to have been used interchangeably.	Thank you for the comment. We rewrote the technical details section and made the notations consistent.	TRUE
TRUE	3	1	13	Grammar / Style	Grammatical errors and uncommon word choices that negatively impact the communication of the research		"Major: Submission readability
While the submission is readable and the main ideas are accurately presented, it suffers from pervasive grammatical errors and uncommon word choices that negatively impact the communication of the research. This is my primary concern with the submission. The research here is interesting and I am excited to see it eventually published, but as is, it needs multiple rounds of prose iteration and improvement to meet academic publishing standards (Distill, or any other computer science conference)."	Thank you for the comment. We made a full pass of our article and tried our best to eliminate such errors.	TRUE
TRUE	3	2	14	Content	"Grand Tour technique: there is likely a better way to introduce and frame the technique with respect to modern techniques. Specifically, the phrase “somewhat-forgotten” feels self-defeating and could be improved to excite the reader about this technique. Furthermore, for readers that may not know of it, was it somewhat-forgotten for good reason? Or did it simply fall out of research popularity? Some discussion around this may be helpful to properly situate the technique in history."	“somewhat-forgotten” => “under-appreciated”	"Major: Grand Tour technique introduction
Given the emphasis on the Grand Tour technique, which is an interesting perspective on visualizing neural network activations, there is likely a better way to introduce and frame the technique with respect to modern techniques. Specifically, the phrase “somewhat-forgotten” feels self-defeating and could be improved to excite the reader about this technique. Furthermore, for readers that may not know of it, was it somewhat-forgotten for good reason? Or did it simply fall out of research popularity? Some discussion around this may be helpful to properly situate the technique in history."	Thank you for the comment. We changed it to “under-appreciated” to clarify our stand. 	TRUE
TRUE	3	3	5	Code	"Technical details hidden by default with an indicator to reveal upon a reader interaction (e.g., show/hide button)"		"Major: Better presentation of technical details
The technical details section would be better placed in the acknowledgements of the article. However, since it is quite long (somewhere between 1/4 and 1/3 of the article), another idea is that it could be highlighted with a banner description and hidden by default with an indicator to reveal upon a reader interaction (e.g., show/hide button)."	Thank you for the suggestion. Now we hide the technical details by default.	TRUE
TRUE	3	4	15	Content	Banner interactive graphic: perhaps a caption and light annotation.		"“Minor: Hero / banner interactive graphic
While the top-level graphic is eye-catching and hints at the techniques used in the paper, perhaps a caption and light annotation could help improve its message to readers. This would help push it towards substantial preview of the article, rather than only a nice looking animation.”"	Thank you for the suggestion. We added a caption with clickable texts to the banner image.	TRUE
TRUE	3	5	23	Code	"Broken graphic: “The Grand Tour of the softmax layer” figure was broken: the image/points drop down menu did not update the visualization correctly, nor did the data instance positions did not update."	"Todo: find failure mode, fix ‘on screen’ event"	"Minor: Broken graphic
The Grand Tour of the softmax layer” figure was broken: the image/points drop down menu did not update the visualization correctly, nor did the data instance positions did not update."	Thank you for the comment. We fixed this bug caused by uncaught “onscreen” events (e.g. when scrolling too fast).	TRUE
TRUE	3	6	none	Grammar / Style	Capitalize headings?		Capitalize headings?	Thank you for the comment. We capitalized the headings.	TRUE
TRUE	3	7	none	Grammar / Style	"“The math behind the two is simple.” Be careful with phrases such as these, since readers will come from many diverse backgrounds with different levels of mathematical fluency."		"“The math behind the two is simple.” Be careful with phrases such as these, since readers will come from many diverse backgrounds with different levels of mathematical fluency."	Thank you for the suggestion. We made a full pass of our article and removed such phrases.	TRUE
TRUE	3	8	24	Code	Adding a zoom slider to all Grand Tour visualizations		Adding a zoom slider to all Grand Tour visualizations (not just the later ones) could be useful	Thank you for the suggestion. We added zoom sliders to all Grand Tour visualizations.	TRUE
TRUE	3	9	none	Grammar / Style	"“vis” instead of “visualization,” although explicitly indicated in the submission, reads a bit informal"		"“vis” instead of “visualization”, although explicitly indicated in the submission, reads a bit informal"	Thank you for the comment. We made a full pass and replaced every “vis” to “visualization”.	TRUE
TRUE	3	10	none	Content	"While there could be other citations to include to support the first paragraph of the introduction (e.g., work related to visualization and visual analytics in deep learning, neural network interpretability), the current text passes."	the current text passes	"While there could be other citations to include to support the first paragraph of the introduction (e.g., work related to visualization and visual analytics in deep learning, neural network interpretability), the current text passes."	Thank you for the comment.	TRUE
TRUE	3	11	16	Content	"In the Discussion, I expected to see citations or relevant links/materials to corroborate “The trade-offs between small multiples and animations is an ongoing discussion in the vis community.”"	"https://pdfs.semanticscholar.org/2786/061c9d7e0e16621a66caf7fc305cf2c8f89a.pdf?_ga=2.170345124.584447988.1575323159-1726660606.1575323159 "	"In the Discussion, I expected to see citations or relevant links/materials to corroborate “The trade-offs between small multiples and animations is an ongoing discussion in the vis community.”"	"Thank you for the comment. With citations, we clarified the limitations and challenges in comparative studies of small multiples and animations in the ”The Power of Animation and Direct Manipulation” section."	TRUE
